ID,Name,PhLevel,HarvestDays,IdealGrowthArea,WaterPerWeek,SoilType,PlantSpacing,RootDepth,HardinessZone,MinTemp,MaxTemp,IdealPlantDate
44,Corn (Sweet),6.5,90,"41.5°N, 93.6°W",45,Fertile Loam,30,120,4,15,35,2026-05-01
45,Cranberry,4.5,120,"44.0°N, 70.0°W",55,Sandy/Bog,30,15,2,-30,28,2026-05-01
46,Cress,6.5,25,"52.0°N, 15.0°E",40,Moist Loam,5,15,3,5,24,2026-03-20
47,Cucumber,6.5,60,"39.0°N, 35.0°E",35,Sandy Loam,30,60,4,18,35,2026-05-15
48,Cumin,7,110,"35.0°N, 60.0°E",15,Sandy Loam,10,30,5,15,38,2026-04-15
49,Currant (Red),6.5,90,"52.0°N, 5.0°E",30,Moist Loam,150,60,3,-30,28,2026-04-01
50,Curry Leaf,6.5,365,"15.0°N, 78.0°E",30,Well-drained,300,90,9,15,40,2026-05-01
51,Daikon,6.2,60,"35.6°N, 139.6°E",25,Deep Loam,15,45,2,5,25,2026-08-15
52,Damson,6.5,120,"52.3°N, 1.2°W",30,Well-drained,500,120,5,-20,32,2026-03-01
53,Dandelion,6.5,60,"50.1°N, 10.1°E",20,Loam,15,45,3,-30,30,2026-03-15
54,Date,7.5,200,"24.7°N, 46.7°E",20,Sandy,900,300,9,10,50,2026-03-01
55,Dewberry,6,90,"39.9°N, 80.0°W",30,Loam,120,60,4,-10,32,2026-03-15
56,Dill,6,50,"55.7°N, 24.1°E",20,Loam,20,30,3,7,28,2026-04-20
57,Dragon Fruit,6.5,150,"15.1°N, 108.2°E",20,Sandy,200,60,10,15,42,2026-05-01
58,Durian,6,120,"3.1°N, 101.7°E",60,Rich Loam,1200,200,11,22,38,2026-06-01
59,Edamame,6.5,80,"35.6°N, 138.2°E",35,Fertile Loam,10,60,4,15,35,2026-05-15
60,Eggplant,6.5,80,"20.5°N, 78.9°E",45,Fertile Loam,60,60,9,18,35,2026-05-15
61,Elderberry,6.5,120,"48.2°N, 16.3°E",35,Moist Loam,300,90,3,-20,30,2026-03-15
62,Endive,6.5,80,"45.7°N, 4.8°E",30,Loam,30,30,4,5,24,2026-04-01
63,Escarole,6.5,85,"45.4°N, 12.3°E",30,Loam,30,30,4,5,25,2026-04-01
64,Fava Bean,6.8,90,"36.7°N, 10.1°E",25,Clay Loam,20,60,6,2,25,2026-02-15
65,Feijoa,6,150,"30.0°S, 55.0°W",30,Well-drained,400,90,8,-5,32,2026-04-01
66,Fennel,6.5,85,"38.1°N, 15.6°E",35,Rich Loam,30,40,5,7,28,2026-04-10
67,Fig,6.5,120,"37.9°N, 23.7°E",25,Sandy Loam,500,120,7,-10,38,2026-03-20
68,Finger Lime,6,200,"28.1°S, 153.4°E",35,Sandy Loam,300,90,9,10,35,2026-03-20
69,Flax,6.5,100,"51.2°N, 105.1°W",20,Silt Loam,5,90,3,5,28,2026-04-15
70,Garlic,6.8,240,"44.5°N, 120.1°E",20,Loam,10,30,3,-30,30,2026-10-15
71,Gherkin,6.5,60,"35.1°N, 25.1°E",35,Sandy Loam,30,60,4,18,35,2026-05-15
72,Ginger,6,240,"15.3°N, 75.1°E",50,Rich Humus,30,30,9,18,35,2026-04-15
73,Ginseng,5.5,1825,"40.0°N, 125.0°E",35,Rich Forest,20,30,3,-15,25,2026-04-01
74,Globe Artichoke,6.8,100,"36.6°N, 121.8°W",30,Sandy Loam,90,60,7,10,28,2026-02-10
75,Gooseberry,6.2,90,"52.1°N, 0.1°E",35,Moist Loam,150,60,3,-25,28,2026-04-01
76,Gourds,6.5,100,"30.2°N, 78.0°E",35,Sandy Loam,120,90,4,15,38,2026-05-15
77,Grape (Concord),6.5,120,"42.4°N, 79.3°W",25,Rocky Loam,250,250,5,-20,35,2026-03-15
78,Grapefruit,6,300,"28.1°N, 81.8°W",45,Sandy Loam,600,150,9,12,38,2026-03-01
79,Groundnut,6,130,"31.5°N, 84.0°W",30,Sandy,20,60,8,18,38,2026-05-10
80,Guava,5.5,180,"19.4°N, 99.1°W",40,Well-drained,500,120,9,15,40,2026-04-15
81,Hazelnut,6.5,150,"41.0°N, 39.7°E",35,Loam,400,120,4,-20,32,2026-03-10
82,Honeydew,6.5,90,"36.1°N, 115.1°W",30,Sandy,90,90,4,18,38,2026-05-10
83,Horseradish,6.5,150,"50.1°N, 14.4°E",25,Deep Loam,45,90,3,-30,30,2026-04-01
84,Huckleberry,5,120,"48.0°N, 115.0°W",35,Peaty Sand,120,45,3,-25,28,2026-04-15
85,Iceberg Lettuce,6.5,75,"36.6°N, 121.6°W",30,Loam,30,25,3,5,24,2026-03-20
86,Indian Gooseberry,6.5,150,"20.6°N, 78.9°E",25,Loam,600,150,9,15,45,2026-03-15
87,Italian Parsley,6.5,75,"41.9°N, 12.5°E",30,Loam,15,30,4,5,28,2026-03-15
88,Jackfruit,6,180,"10.8°N, 77.0°E",55,Alluvial,1000,200,10,18,40,2026-06-01
89,Jerusalem Artichoke,6.8,150,"44.9°N, 93.2°W",25,Sandy Loam,45,90,3,-30,30,2026-04-10
90,Jicama,6.5,150,"19.4°N, 102.3°W",35,Sandy Loam,30,45,10,15,35,2026-04-01
91,Jujube,7,150,"34.3°N, 108.9°E",20,Well-drained,500,150,6,-25,42,2026-03-15
92,Kale,6.8,60,"55.9°N, 3.2°W",30,Loam,45,45,2,-15,24,2026-03-15
93,Kangkong,6.5,45,"13.7°N, 100.5°E",80,Saturated,20,25,10,18,38,2026-05-01
94,Kiwano,6.5,120,"22.9°S, 30.5°E",25,Sandy Loam,90,60,9,15,38,2026-04-15
95,Kiwi,6,200,"37.8°S, 175.2°E",45,Fertile Loam,500,100,7,5,32,2026-03-20
96,Kohlrabi,6.8,55,"52.5°N, 13.4°E",25,Loam,25,30,3,7,25,2026-04-01
97,Kumquat,6,180,"23.1°N, 113.2°E",35,Well-drained,300,90,8,-5,35,2026-03-15
98,Lavender,7.5,100,"43.9°N, 5.2°E",15,Poor/Sandy,60,45,5,-15,35,2026-04-15
99,Leek,6.8,120,"51.5°N, 0.1°W",35,Rich Loam,15,30,3,5,25,2026-03-10
100,Lemon,6,180,"37.5°N, 15.0°E",45,Sandy Loam,600,120,9,10,35,2026-04-01
101,Lemon Balm,6.5,80,"40.7°N, 19.8°E",25,Loam,45,30,4,-15,32,2026-04-01
102,Lemongrass,6.5,180,"13.7°N, 100.5°E",45,Rich Loam,60,45,9,15,40,2026-04-15
103,Lentil,6.5,100,"51.5°N, 106.6°W",20,Sandy Loam,5,60,4,5,28,2026-04-15
104,Lettuce (Leaf),6.5,50,"36.7°N, 121.6°W",25,Rich Loam,25,20,3,5,24,2026-03-20
105,Lime,6,150,"19.4°N, 102.3°W",45,Sandy Loam,500,120,9,12,38,2026-04-01
106,Loganberry,6,90,"44.9°N, 123.0°W",30,Loam,150,60,5,5,30,2026-03-15
107,Longan,6,150,"23.1°N, 113.3°E",40,Acidic Loam,800,150,10,15,35,2026-05-01
108,Loofah,6.5,100,"25.7°N, 115.1°E",40,Rich Loam,60,60,9,18,35,2026-05-01
109,Loquat,6.2,120,"31.2°N, 121.5°E",30,Well-drained,500,100,8,-10,32,2026-03-01
110,Lotus Root,7,210,"34.6°N, 115.5°E",150,Muddy/Silt,100,30,4,15,35,2026-04-15
111,Lychee,5.5,150,"23.1°N, 113.3°E",50,Acidic Loam,800,150,10,15,35,2026-05-01
112,Macadamia,5.5,240,"27.5°S, 153.0°E",45,Well-drained,800,150,9,10,32,2026-03-20
113,Mace (Nutmeg),6,365,"4.5°S, 129.9°E",65,Volcanic,1000,150,11,20,35,2026-06-01
114,Malabar Spinach,6.5,60,"20.6°N, 78.9°E",45,Moist Loam,45,30,10,18,40,2026-05-15
115,Mamey Sapote,6,365,"19.4°N, 90.7°W",45,Well-drained,900,150,10,18,38,2026-05-01
116,Mango,6,120,"19.1°N, 73.0°E",45,Sandy Loam,800,150,10,18,40,2026-06-15
117,Mangosteen,5.5,180,"3.1°N, 101.7°E",70,Rich Clay,1000,150,11,20,38,2026-06-01
118,Marjoram,6.8,90,"35.1°N, 33.4°E",20,Sandy Loam,30,30,6,10,35,2026-04-15
119,Mint,6.5,60,"50.1°N, 10.1°E",50,Moist Loam,30,30,3,-20,30,2026-04-01
120,Mizuna,6.5,40,"35.0°N, 135.8°E",30,Fertile Loam,15,30,4,5,25,2026-03-25
121,Morello Cherry,6.5,70,"50.1°N, 10.1°E",35,Well-drained,500,100,4,-25,30,2026-03-01
122,Mulberry,6.5,60,"35.0°N, 105.0°E",35,Loam,600,150,4,-15,35,2026-03-15
123,Mushroom,7,30,"40.0°N, 75.5°W",20,Compost,5,10,1,15,24,2026-01-01
124,Muskmelon,6.5,85,"35.7°N, 70.0°E",35,Sandy Loam,90,90,4,18,38,2026-05-10
125,Mustard Green,6.5,45,"25.7°N, 85.1°E",30,Loam,15,30,4,7,28,2026-03-25
126,Napa Cabbage,6.5,70,"39.9°N, 116.4°E",35,Fertile Loam,40,45,3,7,25,2026-03-25
127,Nasturtium,6.5,60,"12.0°S, 75.0°W",20,Sandy Loam,30,30,4,10,32,2026-04-15
128,Nectarine,6.5,120,"37.7°N, 121.0°W",40,Well-drained,500,120,5,-15,35,2026-03-01
129,Okra,6.5,60,"32.3°N, 90.1°W",40,Sandy Loam,30,60,8,20,40,2026-05-15
130,Olive (Oil),7.5,180,"37.9°N, 23.7°E",20,Stony Loam,700,150,8,-5,42,2026-03-15
131,Onion (Red),6.8,110,"43.6°N, 116.2°W",30,Muck/Loam,10,30,3,5,30,2026-03-20
132,Orange,6,240,"28.5°N, 81.3°W",50,Sandy Loam,600,150,9,10,38,2026-03-01
133,Oregano,7,90,"38.0°N, 23.0°E",15,Sandy,30,30,5,-10,35,2026-04-15
134,Pak Choi,6.5,45,"31.2°N, 121.5°E",30,Rich Loam,20,30,4,7,25,2026-03-25
135,Papaya,6.5,270,"19.9°N, 155.5°W",50,Well-drained,300,60,10,18,38,2026-05-01
136,Parsley,6.5,75,"40.0°N, 20.0°E",30,Loam,15,30,4,5,28,2026-03-15
137,Parsnip,6.5,120,"52.3°N, 0.1°W",35,Deep Sandy,10,60,2,2,24,2026-03-20
138,Passionfruit,6.5,200,"23.5°S, 46.6°W",45,Well-drained,300,60,9,15,35,2026-04-15
139,Pawpaw,6,150,"38.2°N, 85.7°W",40,Alluvial Loam,400,120,5,-25,35,2026-03-15
140,Peach,6.5,120,"34.0°N, 83.3°W",40,Sandy Loam,500,120,5,-15,35,2026-03-01
141,Peanut,6,130,"31.5°N, 84.1°W",30,Sandy,20,60,8,18,38,2026-05-10
142,Pear,6.5,150,"45.5°N, 122.6°W",35,Loam,500,150,4,-20,32,2026-03-10
143,Peas (Snap),6.5,65,"49.8°N, 99.9°W",30,Sandy Loam,5,45,2,2,25,2026-04-01
144,Pecan,6.5,210,"32.3°N, 95.3°W",50,Alluvial,1500,300,6,-10,38,2026-03-15
145,Pepino Melon,6.5,120,"15.0°S, 75.0°W",35,Fertile Loam,60,45,9,12,30,2026-04-01
146,Peppermint,6.5,90,"51.5°N, 0.1°W",45,Moist Loam,30,30,3,-20,28,2026-04-01
147,Pepper (Bell),6.5,90,"34.0°N, 118.0°W",40,Rich Loam,45,60,8,15,35,2026-05-15
148,Perilla,6,70,"35.0°N, 135.7°E",30,Loam,30,30,4,15,32,2026-05-15
149,Persimmon,6.5,180,"35.0°N, 135.7°E",35,Loam,600,150,6,-15,35,2026-03-20
150,Physalis,6.5,100,"12.0°S, 75.0°W",30,Sandy Loam,60,45,8,15,35,2026-04-20
151,Pigeon Pea,6.5,150,"20.5°N, 78.9°E",25,Well-drained,60,150,9,18,40,2026-03-15
152,Pimento,6.5,90,"40.4°N, 3.7°W",40,Fertile Loam,45,60,8,15,35,2026-05-15
153,Pineapple,5,540,"21.3°N, 157.8°W",35,Sandy Loam,60,30,10,15,35,2026-05-15
154,Plantain,6,365,"5.6°N, 0.1°E",55,Rich Humus,300,100,10,20,38,2026-06-01
155,Plum,6.5,120,"44.8°N, 0.5°E",35,Well-drained,500,120,4,-20,32,2026-03-01
156,Pomegranate,6.5,180,"34.5°N, 69.1°E",30,Sandy Loam,400,120,7,-10,42,2026-03-10
157,Pomelo,6,300,"13.7°N, 100.5°E",50,Sandy Loam,800,150,9,15,40,2026-03-01
158,Potato (Irish),5.5,100,"12.0°S, 75.3°W",40,Sandy Loam,30,60,3,7,25,2026-04-10
159,Prickly Pear,7.5,150,"19.4°N, 99.1°W",15,Sandy,200,60,9,5,45,2026-03-01
160,Pumpkin,6.5,110,"41.6°N, 89.4°W",45,Rich Loam,150,120,3,15,32,2026-05-20
161,Purslane,6.5,40,"35.2°N, 33.3°E",20,Poor/Sandy,15,20,4,15,42,2026-05-15
162,Quince,6.5,150,"40.1°N, 44.5°E",35,Heavy Loam,500,120,5,-15,32,2026-03-15
163,Radicchio,6.5,80,"45.4°N, 12.3°E",35,Loam,30,30,4,5,24,2026-04-01
164,Radish,6.5,30,"39.9°N, 116.4°E",30,Sandy Loam,5,20,2,5,25,2026-03-20
165,Rambutan,6,150,"3.1°N, 101.7°E",55,Acidic Loam,800,150,11,20,38,2026-06-01
166,Raspberry (Red),6.2,90,"52.3°N, 4.9°E",40,Sandy Loam,60,60,3,-20,28,2026-03-15
167,Rhubarb,6,365,"53.4°N, 1.4°W",40,Rich Loam,90,150,3,-30,24,2026-03-01
168,Rice,6,120,"23.1°N, 113.2°E",150,Clay,20,45,4,20,40,2026-05-15
169,Rocket (Salad),6.5,35,"41.9°N, 12.4°E",25,Loam,15,20,3,5,24,2026-03-15
170,Romanesco,6.8,85,"41.9°N, 12.4°E",40,Fertile Loam,60,60,3,10,25,2026-03-15
171,Roselle,6.5,120,"12.6°N, 8.0°E",40,Sandy Loam,60,90,9,18,40,2026-05-15
172,Rosemary,7,365,"37.9°N, 23.7°E",20,Poor/Sandy,60,60,7,-10,38,2026-04-15
173,Rutabaga,6.5,90,"59.3°N, 18.0°E",35,Deep Loam,20,45,3,2,24,2026-07-15
174,Saffron,7,150,"34.1°N, 74.8°E",15,Sandy/Rocky,10,30,6,-10,35,2026-08-15
175,Sage,6.8,90,"44.8°N, 13.8°E",20,Sandy Loam,45,45,5,-15,35,2026-04-15
176,Salsify,6.8,150,"48.8°N, 2.3°E",35,Deep Sandy,10,60,3,2,25,2026-03-20
177,Sapodilla,6.5,240,"18.5°N, 88.3°W",45,Well-drained,800,150,10,18,38,2026-05-15
178,Savory (Summer),6.8,60,"44.8°N, 20.4°E",25,Sandy Loam,25,30,4,15,35,2026-05-01
179,Scallion,6.5,60,"39.9°N, 116.4°E",30,Fertile Loam,5,30,3,5,28,2026-03-15
180,Sea Buckthorn,7,120,"47.9°N, 106.9°E",25,Sandy/Saline,300,150,3,-40,30,2026-03-20
181,Sea Kale,7.5,365,"50.8°N, 0.4°W",30,Sandy/Saline,60,90,4,-20,24,2026-03-01
182,Sesame,6.5,110,"15.5°N, 32.5°E",20,Sandy Loam,15,90,9,20,45,2026-06-01
183,Shallot,6.5,100,"48.8°N, 2.3°E",30,Loam,15,30,4,5,28,2026-10-15
184,Skirret,6.5,180,"52.5°N, 13.4°E",40,Deep Humus,30,45,4,-15,25,2026-04-01
185,Snake Gourd,6.5,80,"13.0°N, 80.2°E",45,Sandy Loam,120,60,10,18,38,2026-05-15
186,Sorrel,6,60,"48.8°N, 2.3°E",35,Moist Loam,30,45,3,-20,24,2026-03-15
187,Soybean,6.5,90,"39.9°N, 116.4°E",40,Loam,10,90,4,15,35,2026-05-15
188,Spearmint,6.5,90,"52.5°N, 1.9°W",50,Moist Loam,30,30,3,-20,28,2026-04-01
189,Spinach,6.8,45,"52.1°N, 5.3°E",35,Fertile Loam,10,30,2,2,24,2026-03-10
190,Squash (Summer),6.5,50,"35.5°N, 98.5°W",40,Rich Loam,90,90,3,15,35,2026-05-15
191,Squash (Winter),6.5,100,"42.3°N, 83.0°W",40,Deep Loam,120,120,3,15,32,2026-05-20
192,Star Fruit,6,150,"3.1°N, 101.7°E",50,Well-drained,600,120,10,18,38,2026-05-01
193,Strawberry,6,90,"36.7°N, 121.6°W",45,Sandy Loam,30,30,4,5,30,2026-03-20
194,Sugar Apple,6,180,"14.6°N, 121.0°E",40,Well-drained,600,90,10,18,35,2026-05-15
195,Sugar Beet,7,180,"52.4°N, 13.4°E",40,Deep Loam,20,120,3,5,28,2026-04-01
196,Sugarcane,6.5,365,"18.5°N, 73.8°E",70,Alluvial,100,150,9,15,40,2026-03-15
197,Sunflower,6.8,90,"46.8°N, 100.7°W",25,Loam,30,180,3,10,35,2026-05-01
198,Swede,6.5,90,"57.7°N, 11.9°E",35,Deep Loam,25,60,3,2,24,2026-07-01
199,Sweet Cicely,6.5,120,"55.9°N, 3.2°W",35,Moist Loam,45,60,3,-25,24,2026-03-15
200,Sweet Potato,6,120,"34.0°N, 81.0°W",35,Sandy Loam,30,90,7,18,38,2026-05-15
201,Tamarillo,6.2,300,"36.8°S, 174.7°E",45,Fertile Loam,300,90,9,10,30,2026-04-01
202,Tamarind,6.5,240,"15.3°N, 75.7°E",30,Loam,1200,300,10,18,45,2026-06-01
203,Tangerine,6,210,"31.6°N, 130.5°E",45,Sandy Loam,500,120,9,10,38,2026-03-01
204,Taro,6.5,270,"19.9°N, 155.6°W",75,Boggy/Wet,60,60,9,18,35,2026-05-01
205,Tarragon,6.8,90,"48.0°N, 30.0°E",25,Sandy Loam,45,45,4,-20,32,2026-04-10
206,Tea,5,365,"25.0°N, 102.7°E",55,Acidic Loam,100,120,8,-5,30,2026-03-20
207,Teff,6.5,100,"9.0°N, 38.7°E",25,Sandy Loam,5,90,9,15,35,2026-05-15
208,Thyme,7,90,"37.9°N, 23.7°E",20,Poor/Sandy,30,30,5,-15,35,2026-04-15
209,Tomatillo,6.8,80,"19.4°N, 99.1°W",35,Fertile Loam,60,60,8,15,35,2026-05-15
210,Tomato (Slicer),6.5,75,"40.8°N, 14.2°E",45,Rich Loam,60,90,4,15,35,2026-05-10
211,Turmeric,6,270,"17.4°N, 78.5°E",55,Rich Humus,30,30,9,18,35,2026-04-15
212,Turnip,6.5,50,"55.9°N, 3.2°W",30,Loam,10,45,2,5,25,2026-03-25
213,Vanilla,6,1000,"18.4°N, 96.6°W",65,Rich Forest,200,30,11,20,32,2026-06-01
214,Velvet Bean,6.5,150,"15.3°N, 75.7°E",35,Well-drained,60,90,9,18,40,2026-05-15
215,Vetiver,6.5,365,"20.6°N, 78.9°E",45,Sandy/Loam,45,300,9,15,45,2026-03-15
216,Walnut,6.5,180,"37.7°N, 121.0°W",45,Deep Silt,1200,300,4,-20,35,2026-03-10
217,Wasabi,6.5,540,"35.4°N, 138.7°E",200,Running Water,30,30,7,8,20,2026-03-15
218,Water Chestnut,7,210,"30.6°N, 114.3°E",110,Muddy,30,30,9,15,35,2026-05-01
219,Watercress,7.2,40,"51.5°N, 0.1°W",150,Saturated,10,15,3,5,24,2026-04-01
220,Watermelon,6.5,90,"31.5°N, 84.1°W",40,Sandy,150,120,4,18,40,2026-05-15
221,Wax Gourd,6.5,120,"23.1°N, 113.3°E",45,Rich Loam,120,90,9,18,38,2026-05-15
222,Wheat,6.5,120,"49.9°N, 99.9°W",20,Silt Loam,5,120,3,5,32,2026-04-01
223,Winged Bean,6.5,120,"14.6°N, 121.0°E",45,Rich Loam,60,90,10,18,35,2026-05-15
224,Winter Melon,6.5,120,"30.6°N, 114.3°E",45,Loam,150,90,9,18,38,2026-05-10
225,Wood Sorrel,6,60,"52.5°N, 13.4°E",35,Moist Loam,20,30,3,-15,24,2026-03-15
226,Yacon,6.5,200,"12.0°S, 75.3°W",40,Fertile Loam,60,60,8,12,28,2026-04-15
227,Yam,6,240,"7.4°N, 3.9°E",50,Deep Loam,60,120,9,18,35,2026-04-15
228,Yardlong Bean,6.5,80,"20.0°N, 110.3°E",40,Rich Loam,20,60,9,18,38,2026-05-15
229,Yerba Mate,5.5,365,"25.3°S, 57.6°W",50,Well-drained,400,150,9,10,32,2026-03-20
230,Zucchini,6.5,50,"43.8°N, 11.2°E",40,Rich Loam,90,90,3,15,35,2026-05-15
231,Aji Pepper,6.5,100,"12.0°S, 77.0°W",35,Sandy Loam,45,60,9,18,35,2026-04-15
232,Almond,7,210,"36.6°N, 119.8°W",45,Well-drained,600,300,7,-10,40,2026-02-15
233,Amaranth,6.5,90,"19.4°N, 99.1°W",20,Loam,20,60,5,15,35,2026-05-01
234,Anise,6.5,120,"37.9°N, 34.7°E",25,Sandy Loam,30,45,4,10,30,2026-04-15
235,Bay Leaf,6.5,365,"38.0°N, 23.7°E",25,Well-drained,400,90,8,-5,35,2026-04-01
236,Black Currant,6.5,90,"55.8°N, 37.6°E",30,Moist Loam,150,60,3,-30,28,2026-04-01
237,Breadfruit,6.5,180,"14.6°N, 121.0°E",50,Well-drained,900,150,10,18,40,2026-05-15
238,Burdock,6.8,120,"35.7°N, 139.7°E",35,Deep Sandy,15,120,2,-20,30,2026-04-10
239,Cactus Pear,7.5,150,"19.4°N, 99.1°W",15,Sandy/Stony,200,60,9,5,45,2026-03-01
240,Camu Camu,5.5,150,"3.7°S, 73.2°W",100,Riparian/Wet,400,60,11,20,35,2026-10-15
241,Cardamom,5.5,300,"10.0°N, 77.0°E",60,Rich Forest,100,60,10,15,32,2026-06-15
242,Casaba Melon,6.5,110,"38.4°N, 27.2°E",35,Sandy Loam,90,90,4,18,38,2026-05-15
243,Catnip,6.5,80,"45.4°N, 12.3°E",25,Sandy Loam,45,30,3,-20,30,2026-04-01
244,Citron,6,240,"35.5°N, 24.5°E",45,Sandy Loam,500,120,9,12,38,2026-03-01
245,Elderberry,6.5,120,"48.2°N, 16.3°E",35,Moist Loam,300,90,3,-20,30,2026-03-15
246,Gherkin,6.5,60,"35.3°N, 25.1°E",40,Sandy Loam,30,60,4,18,35,2026-05-15
247,Groundnut,6,130,"31.5°N, 84.1°W",35,Sandy,20,60,8,18,38,2026-05-10
248,Huckleberry,5,120,"48.0°N, 115.0°W",40,Peaty Sand,120,45,3,-25,28,2026-04-15
249,Iceberg Lettuce,6.5,75,"36.6°N, 121.6°W",35,Loam,30,25,3,5,24,2026-03-20
250,Italian Parsley,6.5,75,"41.9°N, 12.5°E",35,Loam,15,30,4,5,28,2026-03-15
